"","species","varval","genus","family","order","class","phylum","kingdom"
"1","Abditomys latidens",268.09,"Abditomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"5","Abeillia abeillei",2.7,"Abeillia","Trochilidae","Apodiformes","Aves","Chordata","Animalia"
"8","Abeomelomys sevia",57.89,"Abeomelomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"15","Ablepharus bivittatus",3.38844156139203,"Ablepharus","Scincidae","Squamata","Reptilia","Chordata","Animalia"
"30","Ablepharus budaki",1.308,"Ablepharus","Scincidae","Squamata","Reptilia","Chordata","Animalia"
"56","Ablepharus chernovi",1.308,"Ablepharus","Scincidae","Squamata","Reptilia","Chordata","Animalia"
"85","Ablepharus kitaibelii",1.1636342529637,"Ablepharus","Scincidae","Squamata","Reptilia","Chordata","Animalia"
"123","Ablepharus rueppellii",1.04148225605589,"Ablepharus","Scincidae","Squamata","Reptilia","Chordata","Animalia"
"152","Abrawayaomys ruschii",62.99,"Abrawayaomys","Muridae","Rodentia","Mammalia","Chordata","Animalia"
"154","Abrocoma bennettii",272.125,"Abrocoma","Abrocomidae","Rodentia","Mammalia","Chordata","Animalia"
"172","Abrocoma boliviensis",158,"Abrocoma","Abrocomidae","Rodentia","Mammalia","Chordata","Animalia"
"174","Abrocoma budini",125.5,"Abrocoma","Abrocomidae","Rodentia","Mammalia","Chordata","Animalia"
"182","Abrocoma cinerea",221.82,"Abrocoma","Abrocomidae","Rodentia","Mammalia","Chordata","Animalia"
"193","Abrocoma famatina",125.5,"Abrocoma","Abrocomidae","Rodentia","Mammalia","Chordata","Animalia"
"201","Abrocoma shistacea",125.5,"Abrocoma","Abrocomidae","Rodentia","Mammalia","Chordata","Animalia"
"209","Abrocoma uspallata",1,"Abrocoma","Abrocomidae","Rodentia","Mammalia","Chordata","Animalia"
"211","Abrocoma vaccarum",125.5,"Abrocoma","Abrocomidae","Rodentia","Mammalia","Chordata","Animalia"
"219","Abronia aurita",22.3872113856834,"Abronia","Anguidae","Squamata","Reptilia","Chordata","Animalia"
"227","Abronia fimbriata",16.5958690743756,"Abronia","Anguidae","Squamata","Reptilia","Chordata","Animalia"
"235","Abronia graminea",19.0546071796325,"Abronia","Anguidae","Squamata","Reptilia","Chordata","Animalia"
"247","Abronia meledona",19.9526231496888,"Abronia","Anguidae","Squamata","Reptilia","Chordata","Animalia"
"255","Abronia mixteca",61.6595001861482,"Abronia","Anguidae","Squamata","Reptilia","Chordata","Animalia"
"266","Abronia ochoterenai",20.8929613085404,"Abronia","Anguidae","Squamata","Reptilia","Chordata","Animalia"
"274","Abronia taeniata",12.8824955169313,"Abronia","Anguidae","Squamata","Reptilia","Chordata","Animalia"
"282","Abroscopus schisticeps",4.7,"Abroscopus","Cettiidae","Passeriformes","Aves","Chordata","Animalia"
"287","Abrothrix andinus",32.2775,"Abrothrix","Cricetidae","Rodentia","Mammalia","Chordata","Animalia"
"295","Abrothrix hershkovitzi",1,"Abrothrix","Cricetidae","Rodentia","Mammalia","Chordata","Animalia"
"298","Abrothrix illuteus",47.79,"Abrothrix","Cricetidae","Rodentia","Mammalia","Chordata","Animalia"
"301","Abrothrix jelskii",34.5,"Abrothrix","Cricetidae","Rodentia","Mammalia","Chordata","Animalia"
