species;source;insularity;min_foraging_flock;max_foraging_flock;extreme_foraging_flock;communal_roost;immature_foraging_flock;breeding_flock;min_n_eggs;max_n_eggs;incubation_days;fledging_days;nestling_period_days;fed_by_parent_months;fledging_period_days;foraging_flock_size;habitat;sexually_different_marking;diet;nesting;flocking;first_repdroduction;notes
Agapornis canus;Handbook of the Birds of the World;;;;;;;;3;6;23;;;;43;;;yes;fruits and seeds;tree holes;;;
Agapornis fischeri;Handbook of the Birds of the World;;;;;;;;3;8;23;;38;;;;;no;granivorous and fruits;tree holes;;;
Agapornis lilianae;Handbook of the Birds of the World;;;;;;;;;;;;;;;;;;;;;;
Agapornis nigrigenis;Handbook of the Birds of the World;;;;;;;;3;8;24;;41;;;;;no;seeds and leaves;tree;;;
Agapornis personatus;Handbook of the Birds of the World;;;;;;;;3;8;23;;44;;;;;no;;tree holes;;;
Agapornis pullarius;Handbook of the Birds of the World;;;;;;;;3;7;22;;42;;;;;yes;fruits and seeds;ant nest tree;;;
Agapornis roseicollis;Handbook of the Birds of the World;;;;;;;;4;6;23;43;;;;;;no;seeds, flowers, plants;rock crevises and nests;yes;;
Agapornis taranta;Handbook of the Birds of the World;;;;;;;;5;5;25;;49;;;;;yes;seeds, berries, fruits;tree, walls, nests;;;
Alisterus amboinensis;Handbook of the Birds of the World;;;;;;;;2;2;19;;63;;;;;;buds, seeds, fruits, berries, acorns, grain;tree holes;;;
Alisterus chloropterus;Handbook of the Birds of the World;;;;;;;;;;;;;;;;;yes;berries, seeds, fruit;;;;
Alisterus scapularis;Handbook of the Birds of the World;;;;;;;;3;6;20;;35;;;;;yes;seeds, fruits, berries, blossoms, buds, grain, acorns;tree holes;;;
Amazona aestiva;;;;;;;;;;;;;;;;;;;;;;;
Amazona albifrons;Handbook of the Birds of the World;;;;;;;;3;5;24;;;;;;;;;;;;
Amazona amazonica;;;;;;;;;;;;;;;;;;;;;;;
Amazona auropalliata;;;;;;;;;;;;;;;;;;;;;;;
Amazona autumnalis;;;;;;;;;;;;;;;;;;;;;;;
Amazona barbadensis;;;;;;;;;;;;;;;;;;;;;;;
Amazona brasiliensis;;;;;;;;;;;;;;;;;;;;;;;
Amazona collaria;Handbook of the Birds of the World;;;;;;;;3;4;24,5;;70;;;;;;;;;;
Amazona farinosa;;;;;;;;;;;;;;;;;;;;;;;
Amazona festiva;;;;;;;;;;;;;;;;;;;;;;;
Amazona finschi;;;;;;;;;;;;;;;;;;;;;;;
Amazona leucocephala;Handbook of the Birds of the World;;;;;;;;2;6;27;;58;;;;;;;;;;
Amazona ochrocephala;;;;;;;;;;;;;;;;;;;;;;;
Amazona oratrix;;;;;;;;;;;;;;;;;;;;;;;
Amazona pretrei;;;;;;;;;;;;;;;;;;;;;;;
Amazona rhodocorytha;;;;;;;;;;;;;;;;;;;;;;;
Amazona tucumana;;;;;;;;;;;;;;;;;;;;;;;
Amazona ventralis;Handbook of the Birds of the World;;;;;;;;2;4;25;;56;;;;;;;;;;
Amazona vinacea;;;;;;;;;;;;;;;;;;;;;;;
Amazona viridigenalis;;;;;;;;;;;;;;;;;;;;;;;
Amazona vittata;Handbook of the Birds of the World;;;;;;;;2;4;26;;63;;;;;;;;;;
Amazona xanthops;;;;;;;;;;;;;;;;;;;;;;;
Anodorhynchus hyacinthinus;Handbook of the Birds of the World;;;;;;;;2;2;28,5;;107,5;;;;;;;;;;
Anodorhynchus leari;Handbook of the Birds of the World;;;;;;;;;;;;;;;;;;;;;;
Aprosmictus erythropterus;Handbook of the Birds of the World;;;;;;;;3;5;21;;35;;;;;;;;;;
Ara ambiguus;Handbook of the Birds of the World;;;;;;;;2;3;29;;77;;;;;;;;;;
Ara ararauna;Handbook of the Birds of the World;;;;;;;;1;3;;;;;;;;;;;;;
Ara chloropterus;Handbook of the Birds of the World;;;;;;;;2;3;;;;;;;;;;;;;
Ara glaucogularis;Handbook of the Birds of the World;;;;;;;;2;3;27;;92;;;;;;;;;;
