original_species;species;order;family;source;notes
Chalcopsitta atra;Chalcopsitta atra;PSITTACIFORMES;Psittacidae;exact_match;
Chalcopsitta duivenbodei;Chalcopsitta duivenbodei;PSITTACIFORMES;Psittacidae;exact_match;
Chalcopsitta sintillata;Chalcopsitta scintillata;PSITTACIFORMES;Psittacidae;fuzzy_match;
Chalcopsitta cardinalis;Chalcopsitta cardinalis;PSITTACIFORMES;Psittacidae;exact_match;
Eos histrio;Eos histrio;PSITTACIFORMES;Psittacidae;exact_match;
Eos squamata;Eos squamata;PSITTACIFORMES;Psittacidae;exact_match;
Eos cyanogenia;Eos cyanogenia;PSITTACIFORMES;Psittacidae;exact_match;
Eos semilarvata;Eos semilarvata;PSITTACIFORMES;Psittacidae;exact_match;
Eos rubra;Eos bornea;NA;NA;manual_avibase;
Eos reticulata;Eos reticulata;PSITTACIFORMES;Psittacidae;exact_match;
Pseudeos fuscata;Pseudeos fuscata;PSITTACIFORMES;Psittacidae;exact_match;
Trichoglossus ornatus;Trichoglossus ornatus;PSITTACIFORMES;Psittacidae;exact_match;
Trichoglossus haematodus;Trichoglossus haematodus;PSITTACIFORMES;Psittacidae;exact_match;
Trichoglossus rosenbergii;Trichoglossus rosenbergii;PSITTACIFORMES;Psittacidae;exact_match;
Trichoglossus moluccanus;Trichoglossus moluccanus;PSITTACIFORMES;Psittacidae;exact_match;
Trichoglossus forsteni;Trichoglossus forsteni;PSITTACIFORMES;Psittacidae;exact_match;
Trichoglossus capistratus;Trichoglossus capistratus;PSITTACIFORMES;Psittacidae;exact_match;
Trichoglossus weberi;Trichoglossus weberi;PSITTACIFORMES;Psittacidae;exact_match;
Trichoglossus rubritorquis;Trichoglossus rubritorquis;PSITTACIFORMES;Psittacidae;exact_match;
Trichoglossus euteles;Trichoglossus euteles;PSITTACIFORMES;Psittacidae;exact_match;
Trichoglossus flavoviridis;Trichoglossus flavoviridis;PSITTACIFORMES;Psittacidae;exact_match;
Trichoglossus johnstoniae;Trichoglossus johnstoniae;PSITTACIFORMES;Psittacidae;exact_match;
Trichoglossus rubiginosus;Trichoglossus rubiginosus;PSITTACIFORMES;Psittacidae;exact_match;
Trichoglossus chlorolepidotus;Trichoglossus chlorolepidotus;PSITTACIFORMES;Psittacidae;exact_match;
Psitteuteles versicolor;Psitteuteles versicolor;PSITTACIFORMES;Psittacidae;exact_match;
Psitteuteles iris;Psitteuteles iris;PSITTACIFORMES;Psittacidae;exact_match;
Psitteuteles goldiei;Psitteuteles goldiei;PSITTACIFORMES;Psittacidae;exact_match;
Lorius garrulus;Lorius garrulus;PSITTACIFORMES;Psittacidae;exact_match;
Lorius domicella;Lorius domicella;PSITTACIFORMES;Psittacidae;exact_match;
Lorius tibialus;Lorius domicella;NA;NA;manual_avibase;
Lorius lory;Lorius lory;PSITTACIFORMES;Psittacidae;exact_match;
Lorius hypoinochrous;Lorius hypoinochrous;PSITTACIFORMES;Psittacidae;exact_match;
Lorius amabilis;Lorius hypoinochrous;PSITTACIFORMES;Psittacidae;synonym_match;
Lorius albidinucha;Lorius albidinucha;PSITTACIFORMES;Psittacidae;exact_match;
Lorius chlorocercus;Lorius chlorocercus;PSITTACIFORMES;Psittacidae;exact_match;
Phigys solitarius;Phigys solitarius;PSITTACIFORMES;Psittacidae;exact_match;
Vini australis;Vini australis;PSITTACIFORMES;Psittacidae;exact_match;
Vini kuhlii;Vini kuhlii;PSITTACIFORMES;Psittacidae;exact_match;
Vini stepheni;Vini stepheni;PSITTACIFORMES;Psittacidae;exact_match;
Vini peruviana;Vini peruviana;PSITTACIFORMES;Psittacidae;exact_match;
Vini ultramarina;Vini ultramarina;PSITTACIFORMES;Psittacidae;exact_match;
Glossopsitta concinna;Glossopsitta concinna;PSITTACIFORMES;Psittacidae;exact_match;
Glossopsitta pusilla;Glossopsitta pusilla;PSITTACIFORMES;Psittacidae;exact_match;
Glossopsitta porphyrocephala;Glossopsitta porphyrocephala;PSITTACIFORMES;Psittacidae;exact_match;
Charmosyna palmarum;Charmosyna palmarum;PSITTACIFORMES;Psittacidae;exact_match;
Charmosyna rubrigularis;Charmosyna rubrigularis;PSITTACIFORMES;Psittacidae;exact_match;
Charmosyna meeki;Charmosyna meeki;PSITTACIFORMES;Psittacidae;exact_match;
Charmosyna toxopei;Charmosyna toxopei;PSITTACIFORMES;Psittacidae;exact_match;
Charmosyna multistriata;Charmosyna multistriata;PSITTACIFORMES;Psittacidae;exact_match;
Charmosyna wilhelminae;Charmosyna wilhelminae;PSITTACIFORMES;Psittacidae;exact_match;
