"";"species";"afr_5th_percentile"
"1";"Lorius lory";1027,4
"2";"Psittacula eupatria";861
"3";"Pyrrhura molinae";412,25
"4";"Neophema chrysogaster";324,45
"5";"Trichoglossus moluccanus";536,7
"6";"Pseudeos fuscata";916
"7";"Neophema pulchella";267,6
"8";"Psittacula cyanocephala";856
"9";"Melopsittacus undulatus";266,45
"10";"Eolophus roseicapilla";734,25
"11";"Calyptorhynchus banksii";1393,4
"12";"Trichoglossus haematodus";780
"13";"Ara chloropterus";1824,6
"14";"Loriculus galgulus";413,5
"15";"Polytelis alexandrae";384,2
"16";"Agapornis canus";232,55
"17";"Amazona barbadensis";1066,8
"18";"Glossopsitta concinna";528,5
"19";"Nymphicus hollandicus";361,5
"20";"Brotogeris cyanoptera";427,6
"21";"Aratinga solstitialis";632,75
"22";"Cyanoliseus patagonus";1247
"23";"Ara militaris";1358,4
"24";"Ara macao";1555,65
"25";"Diopsittaca nobilis";764,95
"26";"Nestor notabilis";1213,5
"27";"Cyclopsitta diophthalma";390,25
"28";"Primolius maracana";1023,4
"29";"Eclectus roratus";851
"30";"Lathamus discolor";327,9
"31";"Charmosyna stellae";616,75
"32";"Guaruba guarouba";964,8
"33";"Ara rubrogenys";1672
"34";"Ara ararauna";1563,5
"35";"Platycercus eximius";316
"36";"Pyrrhura perlata";432,4
"37";"Psephotellus dissimilis";448,75
"38";"Neophema splendida";274,15
"39";"Psittacula derbiana";708,65
"40";"Poicephalus robustus";769
"41";"Trichoglossus forsteni";487,25
"42";"Ara glaucogularis";1770,4
"43";"Cyanoramphus novaezelandiae";286,6
"44";"Primolius couloni";938,1
"45";"Anodorhynchus hyacinthinus";2163,9
"46";"Amazona rhodocorytha";673,05
"47";"Trichoglossus johnstoniae";447,2
"48";"Amazona vinacea";1107,7
"49";"Cacatua alba";891,5
"50";"Psephotellus chrysopterygius";367,4
"51";"Amazona ventralis";732,25
"52";"Psittacula krameri";469,8
"53";"Pionites leucogaster";699,45
"54";"Amazona leucocephala";1052,3
"55";"Aratinga nenday";421
"56";"Pyrrhura cruentata";701,8
"57";"Cacatua leadbeateri";1062,95
"58";"Charmosyna placentis";534,15
"59";"Psittacus erithacus";1238
"60";"Vini australis";522,3
"61";"Psittacula alexandri";238
"62";"Amazona viridigenalis";896,85
"63";"Cacatua moluccensis";1734,5
"64";"Agapornis nigrigenis";311,45
"65";"Rhynchopsitta pachyrhyncha";1812,75
"66";"Barnardius zonarius";386
"67";"Agapornis fischeri";222,6
"68";"Deroptyus accipitrinus";1100,35
"69";"Agapornis lilianae";248,6
"70";"Eos bornea";656,6
"71";"Lorius garrulus";708
"72";"Ara ambiguus";1597,5
"73";"Amazona aestiva";1015,6
"74";"Cyanoramphus auriceps";302,6
"75";"Amazona ochrocephala";1406,35
"76";"Cacatua sulphurea";1777,2
"77";"Psitteuteles goldiei";452,45
"78";"Glossopsitta porphyrocephala";287
"79";"Poicephalus senegalus";1039,75
"80";"Agapornis roseicollis";297,95
"81";"Triclaria malachitacea";946,7
"82";"Trichoglossus chlorolepidotus";352,7
"83";"Myiopsitta monachus";376,75
"84";"Amazona oratrix";1095
"85";"Charmosyna papou";660,45
"86";"Amazona lilacina";1095,2
"87";"Psephotus haematonotus";305
"88";"Neopsephotus bourkii";303,5
"89";"Neophema elegans";316,65
