species;GO_DIC;LO_DIC;GO_conv;LO_conv;best_model;keep_GO
Agapornis canus;1388,498517;1382,782198;1;1;LObt;1
Agapornis fischeri;2346,017071;2350,473668;1;1;GObt;1
Agapornis lilianae;760,0869208;757,3268552;1;1;LObt;1
Agapornis nigrigenis;2829,694079;2807,456927;1;1;LObt;1
Agapornis personatus;1744,986982;1768,192405;1;1;GObt;1
Agapornis pullarius;523,0853186;519,0827871;1;1;LObt;0
Agapornis roseicollis;2467,283243;2456,760094;1;1;LObt;1
Agapornis taranta;736,6932419;738,8258341;1;1;GObt;1
Alipiopsitta xanthops;352,1373211;341,218748;1;1;LObt;1
Alisterus amboinensis;624,7197108;606,9476426;1;1;LObt;1
Alisterus chloropterus;524,1535267;522,7453309;1;1;LObt;1
Alisterus scapularis;2528,321735;2499,070625;1;1;LObt;0
Amazona aestiva;4138,62823;3968,90463;1;1;LObt;1
Amazona agilis;283,8822716;282,852028;1;1;LObt;1
Amazona albifrons;1074,79673;1054,236078;1;1;LObt;1
Amazona amazonica;2812,986413;2746,057893;1;1;LObt;1
Amazona auropalliata;864,9771176;885,6915197;1;1;GObt;0
Amazona autumnalis;1,00E+09;1217,267777;0;1;LObt;1
Amazona barbadensis;1389,199002;1346,642528;1;1;LObt;1
Amazona brasiliensis;652,5987368;599,3383831;1;1;LObt;1
Amazona collaria;358,408828;354,076345;1;1;LObt;1
Amazona dufresniana;328,4575337;298,6822836;1;1;LObt;1
Amazona farinosa;834,1757705;837,6420378;1;1;GObt;0
Amazona festiva;644,0403376;636,439693;1;1;LObt;0
Amazona finschi;616,1030227;616,4649638;1;1;GObt;1
Amazona guildingii;233,233845;233,5596671;1;1;GObt;1
Amazona leucocephala;2632,705538;2536,197123;1;1;LObt;1
Amazona lilacina;909,5860672;903,6190648;1;1;LObt;1
Amazona ochrocephala;2514,197119;2253,417625;1;1;LObt;1
Amazona oratrix;1813,416793;1806,39552;1;1;LObt;0
Amazona pretrei;619,6995852;610,8950427;1;1;LObt;1
Amazona rhodocorytha;1074,025649;1057,899534;1;1;LObt;1
Amazona tucumana;916,1943154;903,5357223;1;1;LObt;1
Amazona ventralis;727,0972731;711,252559;1;1;LObt;1
Amazona vinacea;1238,273231;1220,741326;1;1;LObt;1
Amazona viridigenalis;1625,290316;1574,397787;1;1;LObt;0
Amazona vittata;329,665383;282,3017422;1;1;LObt;1
Amazona xantholora;237,5787905;237,8099215;1;1;GObt;1
Anodorhynchus hyacinthinus;5256,174163;4914,503416;1;1;LObt;1
Anodorhynchus leari;231,3385533;225,8229439;1;1;LObt;1
Aprosmictus erythropterus;1176,142741;1186,115158;1;1;GObt;1
Ara ambiguus;1,00E+09;1232,131694;0;1;LObt;1
Ara ararauna;12533,29974;12587,12712;1;1;GObt;1
Ara chloropterus;1,00E+09;6847,966913;0;1;LObt;1
Ara glaucogularis;1305,23709;1282,652566;1;1;LObt;0
